feature,importance
most_common_weather_Rainy,0.06453413
total_trips,0.053268783
loyalty_status_Platinum,0.05266159
weekend_trip_ratio,0.052136403
customer_tenure_days,0.049248412
total_tip,0.04781763
avg_driver_rating,0.04730675
signup_date_month,0.047077358
age,0.04647568
most_common_vehicle_type_Sedan,0.046185847
total_time_on_app,0.04582324
total_fare,0.04577262
total_trip_cost,0.04568528
total_sessions,0.04437957
loyalty_status_Silver,0.040989887
avg_trip_distance_km,0.039946027
customer_trip_lifetime_days,0.039546028
conversion_rate,0.038560603
days_since_last_trip,0.03734841
session_city_Nairobi,0.034221686
session_city_Lagos,0.028266853
trip_city_Nairobi,0.028103776
session_lifetime_days,0.02030339
signup_date_year,0.0043400554
days_since_last_session,0.0
most_common_weather_Foggy,0.0
